v1,v2,v3
-0.92,0.196,0.312
-0.924,0.208,0.304
-0.916,0.22,0.324
-0.904,0.196,0.336
-0.888,0.172,0.32
-0.916,0.22,0.332
-0.904,0.244,0.332
-0.888,0.24,0.32
-0.88,0.184,0.308
-0.852,0.2,0.32
-0.868,0.26,0.328
-0.872,0.276,0.308
-0.86,0.264,0.304
-0.836,0.208,0.308
-0.872,0.22,0.3
-0.916,0.224,0.344
-0.896,0.228,0.324
-0.88,0.232,0.304
-0.88,0.256,0.292
-0.88,0.256,0.32
-0.824,0.236,0.312
-0.812,0.228,0.3
-0.84,0.248,0.304
-0.896,0.296,0.328
-0.956,0.268,0.372
-0.94,0.216,0.408
-0.932,0.188,0.392
-0.952,0.192,0.372
-0.984,0.228,0.388
-0.976,0.224,0.436
-0.94,0.184,0.424
-0.912,0.148,0.412
-0.888,0.2,0.392
-0.872,0.256,0.392
-0.864,0.264,0.388
-0.88,0.216,0.368
-0.888,0.18,0.372
-0.892,0.208,0.376
-0.912,0.236,0.384
-0.884,0.232,0.364
-0.884,0.22,0.356
-0.88,0.24,0.344
-0.888,0.268,0.348
-0.904,0.26,0.372
-0.888,0.232,0.364
-0.872,0.212,0.348
-0.872,0.212,0.368
-0.88,0.26,0.348
-0.892,0.26,0.364
-0.892,0.26,0.368
-0.884,0.252,0.356
-0.876,0.26,0.352
-0.896,0.32,0.368
-0.888,0.312,0.38
-0.872,0.26,0.364
-0.868,0.224,0.368
-0.812,0.172,0.372
-0.888,0.184,0.392
-0.904,0.172,0.404
-0.916,0.232,0.392
-0.912,0.252,0.396
-0.904,0.264,0.384
-0.908,0.232,0.388
-0.92,0.148,0.384
-0.872,0.132,0.356
-0.908,0.22,0.356
-0.856,0.304,0.336
-0.856,0.348,0.332
-0.848,0.34,0.312
-0.808,0.304,0.316
-0.852,0.26,0.336
-0.864,0.288,0.34
-0.864,0.288,0.34
-0.872,0.312,0.336
-0.868,0.292,0.356
-0.876,0.28,0.344
-0.86,0.284,0.348
-0.86,0.32,0.34
-0.868,0.328,0.344
-0.884,0.292,0.364
-0.876,0.276,0.368
-0.88,0.304,0.364
-0.872,0.316,0.36
-0.872,0.32,0.36
-0.88,0.312,0.364
-0.88,0.296,0.376
-0.888,0.3,0.372
-0.876,0.312,0.36
-0.868,0.344,0.376
-0.876,0.34,0.372
-0.864,0.312,0.356
-0.872,0.3,0.368
-0.864,0.292,0.372
-0.872,0.32,0.364
-0.868,0.304,0.356
-0.884,0.32,0.364
-0.88,0.308,0.356
-0.868,0.284,0.356
-0.884,0.272,0.368
-0.912,0.292,0.376
-0.912,0.296,0.376
-0.904,0.296,0.356
-0.908,0.264,0.364
-0.9,0.252,0.364
-0.888,0.256,0.368
-0.872,0.264,0.356
-0.872,0.284,0.356
-0.88,0.272,0.356
-0.884,0.248,0.36
-0.892,0.248,0.372
-0.892,0.256,0.364
-0.88,0.256,0.36
-0.872,0.256,0.364
-0.868,0.26,0.356
-0.864,0.268,0.356
-0.876,0.268,0.356
-0.884,0.256,0.352
-0.888,0.256,0.372
-0.88,0.256,0.356
-0.876,0.268,0.364
-0.868,0.26,0.364
